@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
0.808703,-0.000000,0.00
0.759376,-0.000000,0.00
0.859807,-0.000000,0.00
0.754512,0.005013,0.00
0.722296,-0.000000,0.00
0.753761,-0.000000,0.00
0.849241,-0.008835,0.00
0.761387,-0.000000,0.00
0.848430,-0.000000,1.00
0.792242,-0.009162,0.00
0.759758,-0.000000,1.00
0.823666,0.004689,1.00
0.730272,-0.005206,1.00
0.860811,-0.004381,0.00
0.792242,0.004581,0.00
0.808002,-0.010134,0.00
0.853254,-0.000000,0.00
0.724102,-0.000000,0.00
0.796050,-0.000000,1.00
0.743097,0.010161,0.00
0.728938,-0.005385,1.00
0.751288,-0.005758,0.00
0.803870,0.004219,0.00
0.739005,0.006200,0.00
0.830934,0.007749,1.00
0.761933,-0.009051,0.00
0.650958,-0.000000,0.00
0.577364,-0.000000,0.00
0.645583,-0.000000,0.00
0.616068,-0.000000,0.00
0.582856,-0.000000,0.00
0.627988,-0.000000,0.00
0.645673,-0.000000,0.00
0.575232,-0.000000,0.00
0.622815,-0.000000,0.00
0.710147,-0.000000,1.00
0.622815,-0.000000,1.00
0.609511,0.018954,1.00
0.697039,-0.000000,1.00
0.637503,-0.000000,1.00
0.611913,-0.008202,0.00
0.722316,-0.000000,0.00
0.675315,-0.000000,0.00
0.653410,-0.000000,0.00
0.651583,-0.000000,0.00
0.619346,-0.007075,0.00
0.910597,-0.000000,0.00
0.983179,-0.004993,1.00
0.964313,-0.002512,1.00
0.985944,-0.000000,0.00
0.942573,-0.000000,1.00
0.953365,-0.002750,1.00
0.910597,-0.000000,0.00
0.950163,-0.002682,1.00
0.951754,-0.000000,1.00
0.550337,0.012219,0.00
0.568630,-0.000000,0.00
0.559781,-0.000000,0.00
0.573089,-0.000000,0.00
0.573875,-0.000000,0.00
0.572768,-0.000000,0.00
0.565415,-0.000000,1.00
0.554620,-0.000000,0.00
0.541437,-0.000000,0.00
0.569665,0.009360,0.00
0.563922,-0.000000,0.00
0.999706,-0.000000,1.00
0.997549,-0.000000,0.00
0.996435,-0.000000,1.00
0.985676,-0.000000,1.00
0.987941,-0.000000,0.00
0.995874,-0.002251,0.00
0.996215,-0.002180,0.00
0.992122,-0.001806,1.00
0.994253,-0.002259,0.00
0.989872,-0.004630,0.00
0.796633,-0.004218,0.00
0.774116,0.004455,0.00
0.875320,-0.003774,1.00
0.781558,-0.000000,0.00
0.787840,0.004276,0.00
0.796057,-0.004707,1.00
0.778877,0.008610,1.00
0.829687,-0.007713,0.00
0.766453,-0.000000,1.00
0.847019,0.007938,0.00
0.734431,-0.000000,1.00
0.826917,-0.000000,0.00
0.843928,-0.000000,0.00
0.722023,-0.010332,0.00
0.812956,-0.000000,1.00
0.850510,-0.000000,1.00
0.865650,0.003729,0.00
0.760246,-0.005047,0.00
0.730305,-0.000000,1.00
0.774855,-0.000000,0.00
0.849499,-0.000000,1.00
0.814884,-0.000000,0.00
0.806233,0.004241,0.00
0.861192,-0.000000,1.00
0.746366,-0.000000,0.00
0.783326,-0.000000,0.00
0.824983,-0.004865,0.00
0.797283,-0.004119,0.00
0.675315,-0.006501,0.00
0.651583,-0.000000,0.00
0.676550,0.006014,0.00
0.715440,-0.013706,0.00
0.644228,-0.000000,0.00
0.717965,-0.000000,1.00
0.659978,-0.000000,0.00
0.707542,-0.005406,0.00
0.690986,0.006256,0.00
0.660857,-0.000000,0.00
0.625794,0.018127,0.00
0.658552,-0.000000,1.00
0.581645,-0.011494,0.00
0.586108,-0.010176,0.00
0.915827,-0.000000,0.00
0.907524,-0.000000,1.00
0.971122,-0.000000,1.00
0.876002,0.003673,0.00
0.917226,-0.000000,0.00
0.959117,-0.000000,1.00
0.889231,-0.003376,0.00
0.945695,-0.000000,1.00
0.919256,0.003193,1.00
0.890154,-0.000000,1.00
0.973373,-0.000000,1.00
0.907524,-0.000000,0.00
0.909968,-0.003253,0.00
0.922289,-0.000000,0.00
0.872231,-0.000000,0.00
0.953956,-0.000000,0.00
0.943226,-0.005670,0.00
0.922657,-0.000000,0.00
0.542877,-0.000000,0.00
0.553526,0.046280,0.00
0.543392,0.034607,0.00
0.565372,-0.000000,0.00
0.543146,-0.029506,0.00
0.563713,-0.000000,0.00
0.541437,-0.000000,0.00
0.564584,-0.077342,0.00
0.540312,0.021349,0.00
0.540951,-0.000000,0.00
0.569345,0.011395,0.00
0.554150,-0.000000,0.00
0.568339,-0.013057,0.00
0.558771,-0.000000,1.00
0.572049,-0.000000,0.00
0.566166,0.060403,0.00
0.573651,0.009417,1.00
0.572830,0.011070,0.00
0.559179,0.013917,0.00
0.567801,0.020759,0.00
0.546825,-0.000000,1.00
0.546912,-0.000000,0.00
0.556937,-0.012069,0.00
0.545039,-0.000000,0.00
0.555530,-0.028361,0.00
0.549562,-0.033954,0.00
0.547194,-0.014920,0.00
0.552957,-0.000000,0.00
0.540961,0.038067,0.00
0.580407,-0.009360,0.00
0.997510,-0.004202,1.00
0.998397,-0.000000,1.00
0.983722,0.001647,0.00
0.992202,0.003544,1.00
0.997790,-0.000000,1.00
0.999018,-0.000000,0.00
0.992754,-0.000000,1.00
0.991426,-0.003507,1.00
0.997551,-0.000000,1.00
0.993685,-0.000000,0.00
0.999864,-0.000000,1.00
0.993228,-0.000000,1.00
0.999705,-0.000000,0.00
0.981533,-0.001635,1.00
0.992563,0.002340,0.00
0.989627,-0.004621,1.00
0.990303,0.001765,0.00
0.991268,0.002341,0.00
0.989396,-0.000000,0.00
0.997913,-0.002121,1.00
0.998784,-0.000000,1.00
0.991845,-0.000000,1.00
0.996309,-0.000000,0.00
0.997715,-0.000000,1.00
0.988548,-0.004687,0.00
0.999957,0.001889,0.00
0.996831,-0.001994,1.00
0.996913,-0.004469,1.00
0.991232,-0.000000,0.00
0.807169,-0.004625,0.00
0.760246,-0.000000,1.00
0.848430,-0.000000,0.00
0.788466,-0.010127,1.00
0.820452,-0.008143,0.00
0.777108,-0.000000,0.00
0.871343,-0.000000,1.00
0.827108,-0.000000,1.00
0.848734,-0.000000,0.00
0.840391,-0.000000,0.00
0.729912,0.012050,0.00
0.838474,0.004529,1.00
0.751451,-0.000000,1.00
0.852884,-0.000000,0.00
0.855282,-0.000000,1.00
0.817968,-0.000000,0.00
0.831798,-0.000000,1.00
0.780689,-0.004706,0.00
0.849664,-0.000000,0.00
0.782117,-0.004736,1.00
0.806233,-0.000000,1.00
0.864400,-0.000000,0.00
0.759790,-0.000000,1.00
0.740491,-0.000000,0.00
0.811361,-0.000000,0.00
0.753581,-0.005404,1.00
0.756858,-0.000000,0.00
0.882625,-0.000000,0.00
0.772645,-0.000000,1.00
0.807577,-0.000000,1.00
0.756911,-0.009747,0.00
0.771892,-0.000000,1.00
0.726760,-0.000000,1.00
0.783097,-0.008994,1.00
0.811919,-0.008293,0.00
0.785616,-0.000000,1.00
0.767206,-0.009911,0.00
0.753581,-0.005361,0.00
0.735994,-0.000000,0.00
0.754512,0.004976,0.00
0.796633,-0.000000,0.00
0.815637,-0.004324,1.00
0.749400,-0.000000,0.00
0.745710,-0.000000,0.00
0.844576,-0.000000,1.00
0.794718,-0.000000,1.00
0.713233,-0.000000,0.00
0.794718,0.008812,0.00
0.755263,-0.000000,0.00
0.745890,-0.010033,0.00
0.743097,0.005119,0.00
0.844190,-0.004270,0.00
0.822361,-0.000000,0.00
0.816987,-0.000000,0.00
0.811276,0.009639,1.00
0.781558,-0.000000,0.00
0.820452,-0.000000,0.00
0.796167,-0.000000,1.00
0.769908,-0.010391,0.00
0.809214,-0.004789,0.00
0.808003,-0.000000,1.00
0.780531,0.004558,1.00
0.730495,-0.005338,1.00
0.837443,-0.000000,1.00
0.786112,-0.008660,1.00
0.768932,0.004770,0.00
0.868948,-0.000000,1.00
0.860986,0.003996,1.00
0.847337,-0.000000,0.00
0.761387,-0.000000,0.00
0.733432,-0.000000,0.00
0.828820,-0.000000,1.00
0.830584,0.007910,1.00
0.857492,-0.000000,0.00
0.858737,-0.003605,1.00
0.797969,0.008778,0.00
0.779697,-0.000000,0.00
0.784513,-0.000000,1.00
0.780531,-0.000000,1.00
0.746894,-0.000000,0.00
0.808633,-0.009708,0.00
0.792242,0.009162,1.00
0.861192,-0.007731,0.00
0.789715,0.004641,0.00
0.729847,-0.010790,0.00
0.837443,-0.000000,0.00
0.819120,0.004051,1.00
0.803311,0.004381,0.00
0.778717,-0.000000,0.00
0.825084,-0.000000,0.00
0.778889,-0.000000,0.00
0.839465,-0.000000,1.00
0.722694,-0.005459,0.00
0.747389,-0.000000,1.00
0.808901,-0.000000,0.00
0.828222,-0.008107,1.00
0.788905,-0.009922,1.00
0.801425,-0.000000,0.00
0.797810,0.004936,1.00
0.781929,0.004502,0.00
0.809880,-0.000000,0.00
0.810872,0.003957,0.00
0.760315,0.006028,1.00
0.760002,-0.000000,1.00
0.820452,-0.008143,0.00
0.784161,-0.010587,0.00
0.745710,-0.000000,0.00
0.856324,0.003700,0.00
0.784513,-0.000000,0.00
0.761605,-0.005378,0.00
0.723793,-0.000000,0.00
0.730903,-0.010153,1.00
0.749633,-0.000000,0.00
0.809880,-0.000000,1.00
0.724803,0.005027,0.00
0.724096,-0.000000,0.00
0.846491,-0.000000,0.00
0.754672,-0.005783,0.00
0.797446,-0.000000,1.00
0.729247,-0.000000,0.00
0.779506,-0.005104,0.00
0.821737,-0.000000,0.00
0.761605,-0.000000,0.00
0.774677,-0.004351,1.00
0.767236,-0.008801,0.00
0.861742,-0.000000,1.00
0.745867,-0.000000,0.00
0.812336,-0.000000,0.00
0.789546,-0.000000,0.00
0.757267,-0.000000,1.00
0.827707,0.004666,1.00
0.723793,-0.000000,0.00
0.825965,-0.000000,1.00
0.865875,-0.007884,0.00
0.821340,-0.000000,0.00
0.733758,0.005480,0.00
0.880698,-0.003886,0.00
0.845908,-0.000000,1.00
0.831996,-0.003781,1.00
0.728078,-0.005503,0.00
0.841457,-0.004249,1.00
0.856608,-0.000000,1.00
0.773657,-0.000000,1.00
0.774116,-0.000000,0.00
0.781198,0.004796,1.00
0.663375,0.014004,0.00
