@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
1.000000,43.000000,0.000000,0.425700,0.325700,0.248700,0.000000,1.500000,1.500000,1.002800,0.000000,0.991700,0.000000,0.00
1.000000,37.000000,0.000000,0.421300,0.283900,0.294800,0.000000,1.500000,1.500000,0.922100,0.000000,0.991700,0.000000,0.00
1.000000,65.000000,0.000000,0.415700,0.250000,0.334300,0.000000,1.500000,1.500000,0.920600,0.000000,0.991700,0.000000,1.00
1.000000,49.000000,0.000000,0.402300,0.310900,0.286700,0.000000,1.500000,1.500000,1.000100,0.000000,0.991700,0.000000,0.00
1.000000,42.000000,0.000000,412.000000,0.307900,0.280100,0.000000,1.500000,1.500000,0.980100,0.000000,0.991700,0.000000,0.00
1.000000,49.000000,0.000000,0.440200,0.290400,0.269400,0.000000,1.500000,1.500000,1.000100,0.000000,0.991700,0.000000,1.00
1.000000,64.000000,0.000000,0.470600,0.255500,0.273900,0.000000,1.500000,1.500000,0.976500,0.000000,0.991700,0.000000,0.00
1.000000,42.000000,0.000000,0.433100,0.306900,0.260100,0.000000,1.500000,1.500000,0.980100,0.000000,0.991700,0.000000,0.00
1.000000,49.000000,0.000000,0.438200,0.312600,0.249200,0.000000,1.500000,1.500000,1.000100,0.000000,0.991700,0.000000,0.00
1.000000,10.000000,0.000000,0.358400,0.327600,314.000000,0.000000,1.500000,1.500000,0.995800,0.000000,0.991700,0.000000,1.00
1.000000,60.000000,0.000000,0.476800,0.252200,271.000000,0.000000,1.500000,1.500000,0.967500,0.000000,0.991700,0.000000,0.00
1.000000,33.000000,0.000000,0.447300,0.303200,0.249600,0.000000,1.500000,1.500000,0.892300,0.000000,0.991700,0.000000,0.00
1.000000,49.000000,0.000000,0.321200,0.328100,0.350700,0.000000,1.500000,1.500000,1.000100,0.000000,0.991700,0.000000,1.00
1.000000,66.000000,0.000000,0.358100,0.283900,0.358100,0.000000,1.500000,1.500000,1.059700,0.000000,0.991700,0.000000,0.00
1.000000,67.000000,0.000000,452.000000,281.000000,0.266900,0.000000,1.500000,1.500000,962.000000,0.000000,0.991700,0.000000,0.00
1.000000,43.000000,0.000000,0.376800,0.308400,0.314800,0.000000,1.500000,1.500000,1.002800,0.000000,0.991700,0.000000,1.00
1.000000,61.000000,0.000000,0.463700,0.299700,0.236600,0.000000,1.500000,1.500000,0.599700,0.000000,0.991700,0.000000,1.00
1.000000,68.000000,0.000000,359.000000,0.290300,0.350800,0.000000,1.500000,1.500000,1.010600,0.000000,0.991700,0.000000,0.00
1.000000,21.000000,0.000000,0.485800,0.266200,248.000000,0.000000,1.500000,1.500000,1.023700,0.000000,0.991700,0.000000,1.00
1.000000,21.000000,0.000000,0.465400,0.284200,0.250400,0.000000,1.500000,1.500000,1.023700,0.000000,0.991700,0.000000,0.00
1.000000,33.000000,0.000000,0.354200,0.299400,0.346400,0.000000,1.500000,1.500000,0.892300,0.000000,0.991700,0.000000,0.00
1.000000,23.000000,0.000000,0.356200,0.287600,0.356200,0.000000,1.500000,1.500000,1.012700,0.000000,0.991700,0.000000,0.00
1.000000,46.000000,0.000000,0.424900,0.276300,0.298800,0.000000,1.500000,1.500000,0.986900,0.000000,0.991700,0.000000,0.00
1.000000,60.000000,0.000000,452.000000,0.263900,0.284100,0.000000,1.500000,1.500000,0.967500,0.000000,0.991700,0.000000,1.00
1.000000,69.000000,0.000000,0.458800,0.275300,0.265800,0.000000,1.500000,1.500000,0.941900,0.000000,0.991700,0.000000,1.00
1.000000,43.000000,0.000000,0.394600,0.327100,0.278400,0.000000,1.500000,1.500000,1.002800,0.000000,0.991700,0.000000,0.00
1.000000,36.000000,0.000000,0.390900,0.289600,0.319500,0.000000,1.500000,1.500000,0.957200,0.000000,0.991700,0.000000,0.00
1.000000,25.000000,0.000000,0.411900,261.000000,0.327100,0.000000,1.500000,1.500000,0.992700,0.000000,0.991700,0.000000,1.00
1.000000,33.000000,0.000000,0.372600,301.000000,0.326300,0.000000,1.500000,1.500000,0.892300,0.000000,0.991700,0.000000,0.00
